Stefan Savić,Stefan Savic
Ivo Grbić, Ivo Grbic
Anssumane Fati,Ansu Fati
Francisco Trincão,Trincão
Luka Modrić,Luka Modric
Fernando,Fernando Reges
Carlos Fernández Luna,Carlos Fernández
Tomáš Vaclík,Tomas Vaclík
Ivan Rakitić,Ivan Rakitic
Emerson,Emerson Royal
Raba,Dani Raba
Fernando Niño,Fer Niño
Róber Pier,Rober Pier
Nikola Vukčević,Nikola Vukcevic
Jorge De Frutos Sebastian,Jorge De Frutos
Íñigo Lekue,Iñigo Lekue
Iñigo Cordoba,Iñigo Córdoba
Fran Beltran,Fran Beltrán
Néstor Araujo,Néstor Araújo
Okay Yokuşlu,Okay Yokuslu
Xabier Etxeita,Xabi Etxeita
Mathias Olivera,Mathías Olivera
Nemanja Maksimović,Nemanja Maksimovic
Cucho Hernández,Cucho
José Luis Gayà,José Gayà
Maximiliano Gómez,Maxi Gómez
Uroš Račić,Uros Racic
Alberto,Alberto Perea
Isaac Carcelén,Iza Carcelén
Jens Jønsson,Jens Jönsson
Salvi,Salvi Sánchez
Filip Malbašić,Filip Malbasic
Marko Dmitrović,Marko Dmitrovic
Papakouli Diop,Pape Diop
Kike,Kike García
Damian Kądzior,Damian Kadzior
Roberto Jiménez,Roberto
Waldo Rubio Marin,Waldo Rubio
Pablo Hervias,Pablo Hervías
Jose Morente,Tete Morente
Juan Carlos,Juan Carlos Real
Róber,Roberto Correa
Anthony Lozano,Choco Lozano
Álex Fernandez,Álex Fernández
Enrique Barja Alfonso,Kike Barja
Aridane Hernandez,Aridane Hernández
José Giménez,José María Giménez
Šime Vrsaljko,Sime Vrsaljko
Oscar Mingueza,Óscar Mingueza
Junior Firpo,Júnior Firpo
Sergio Arribas Calvo,Sergio Arribas
Óscar Rodríguez,Óscar
Alejandro Gómez,Papu Gómez
Joseba Zaldúa,Joseba Zaldua
Rodrigo Sánchez,Rodri
Yeremi Pino santos,Yeremy
Yan Brice,Yan Eteki
Luis Javier Suárez,Luis Suárez,Granada
Rubén Vezo,Rúben Vezo
Jorge De Frutos Sebastian,Jorge de Frutos
Ruben Rochina,Rubén Rochina
Alex Berenguer,Álex Berenguer
Aarón Martin Caricol,Aarón Martín
Xabier Etxeita,Xabi Etxeita
Diego Gonzalez,Diego González
Marcos de Sousa,Marcos André
Nacho Martinez,Nacho Martínez
Joaquin Fernandez ,Joaquín Fernández
Bryan Salvatierra,Bryan Gil
Kevin Rodrigues,Kévin Rodrigues
Ivan Šaponjić,Ivan Saponjic
Jairo Izquierdo González,Jairo Izquierdo
Pedro Alcala,Pedro Alcalá
Darko Brašanac,Darko Brasanac
Manuel Sánchez,Manu Sánchez
